station,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
6007 - de l'Hôtel-de-Ville / Ste-Catherine,0.0,0.03075906796883845,0.03265772494602265,0.35456326053393405,0.0,0.11688311688311688,0.24324324324324326,0.0,0.160671468720195,0.03571428571428571,0.2692307692307692,0.9456521739130435,0.2127659574468085
6008 - Sanguinet / Ste-Catherine,0.0,0.0,0.012451046757023338,0.15651297323700442,0.0,0.12987012987012986,0.21621621621621623,0.0,0.01723621780887738,0.0,0.0,0.9239130434782609,0.1702127659574468
6009 - Crescent / de Maisonneuve,0.0,0.10810549350436373,0.004264604044514497,0.215867554969288,0.0,0.45454545454545453,0.8918918918918919,0.0,0.038320737345781085,0.07142857142857142,0.11538461538461539,0.9891304347826086,0.1276595744680851
6011 - St-André / St-Antoine,0.11059697419055697,0.02620880851116093,0.7108050692601044,0.5578116709914004,0.0,0.025974025974025976,0.0,0.0,0.24195122266280805,0.14285714285714285,0.07692307692307693,0.8369565217391305,0.1702127659574468
6012 - Métro St-Laurent (de Maisonneuve / St-Laurent),0.0,0.20279649368425065,0.0802529124897013,0.21227737560350865,0.25,0.1038961038961039,0.05405405405405406,0.0,0.10713824321636281,0.14285714285714285,0.19230769230769232,0.9347826086956522,0.40425531914893614
6013 - Sanguinet / de Maisonneuve,0.0,0.11853739308257401,0.0,0.1514189984185713,0.0,0.012987012987012988,0.0,0.0,0.09837539917915707,0.03571428571428571,0.038461538461538464,0.9456521739130435,0.2127659574468085
6014 - St-Denis / René-Lévesque,0.0,0.040739887170648734,0.3368855258757304,0.22386082575408978,0.0,0.1038961038961039,0.21621621621621623,1.0,0.20237994236450893,0.25,0.5,0.9347826086956522,0.3404255319148936
6015 - BAnQ (Berri / de Maisonneuve),0.0,0.17019297257205748,0.0,0.12975435004791855,0.25,0.0,0.02702702702702703,0.0,0.004838784729996969,0.17857142857142858,0.23076923076923078,0.9239130434782609,0.2127659574468085
6016 - Jacques-Le Ber / de la Pointe Nord,0.0,0.5989033658071912,0.06722901000111779,0.5597666016942201,0.0,0.0,0.0,0.0,0.040304884886060925,0.07142857142857142,0.15384615384615385,0.30434782608695654,0.1702127659574468
6017 - Atateken / du Square Amherst,0.0008985986832955912,0.0,0.05689039490914525,0.32011875181893085,0.0,0.11688311688311688,0.05405405405405406,0.0,0.25430368001033965,0.21428571428571427,0.15384615384615385,0.9347826086956522,0.2127659574468085
6018 - St-André / Ontario,0.0,0.0,0.0,0.3359911875678178,0.0,0.06493506493506493,0.02702702702702703,0.0,0.1699014109315469,0.03571428571428571,0.038461538461538464,0.9456521739130435,0.0851063829787234
6019 - Métro Sherbrooke (de Rigaud / Berri),0.024202227914011203,0.1345463363880601,0.22410456211000795,0.41993861222037526,0.25,0.2987012987012987,0.5405405405405406,1.0,0.2519966141499521,0.21428571428571427,0.19230769230769232,0.9565217391304348,0.1276595744680851
6020 - Sanguinet / Ontario,0.0,0.0,0.09449161603699956,0.3218251019860325,0.0,0.16883116883116883,1.0,0.0,0.1984828812826418,0.10714285714285714,0.038461538461538464,0.9347826086956522,0.0851063829787234
6021 - de l'Hôtel-de-Ville / Sherbrooke,0.0,0.0,0.11772366593822692,0.3131574404648157,0.0,0.025974025974025976,0.0,0.0,0.3027779801677811,0.07142857142857142,0.07692307692307693,0.9456521739130435,0.1702127659574468
6022 - William-Tremblay / Molson,0.0,0.265246862428165,0.0,0.3094433080930014,0.0,0.05194805194805195,0.0,0.0,0.020993910465554096,0.14285714285714285,0.038461538461538464,0.6521739130434783,0.1276595744680851
6023 - de la Commune / Berri,0.23904953193973685,0.17976804418960024,0.1135988405129339,0.34908558471134876,0.0,0.012987012987012988,0.08108108108108109,0.0,0.09743139363531339,0.07142857142857142,0.038461538461538464,0.7608695652173914,0.425531914893617
6025 - Notre-Dame / St-Gabriel,0.026851133123950984,0.07529339872315938,0.0599262710222305,0.31873086474612394,0.0,0.22077922077922077,0.35135135135135137,0.0,0.019793946960619757,0.10714285714285714,0.11538461538461539,0.9456521739130435,0.0425531914893617
6026 - de la Commune / Place Jacques-Cartier,0.2912588610913478,0.22327467214705707,0.14109174092604715,0.44088483009781376,0.0,0.2987012987012987,0.8108108108108109,0.0,0.024909182910768095,0.03571428571428571,0.038461538461538464,0.8369565217391305,0.7446808510638298
6027 - de Maisonneuve / Mansfield (sud),0.0,0.028353266902327066,0.0,0.03564457353969723,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.9782608695652174,0.1276595744680851
6029 - Bourget / St-Jacques,0.0,0.13953124154700244,0.2624507557966818,0.2878803726855043,0.0,0.05194805194805195,0.0,0.0,0.27714637606909853,0.07142857142857142,0.15384615384615385,0.8043478260869565,0.0851063829787234
6031 - de Maisonneuve / Robert-Bourassa,0.0,0.14398506202211875,0.067811273722855,0.0878162917070191,1.0,0.03896103896103896,0.16216216216216217,0.0,0.0,0.14285714285714285,0.19230769230769232,1.0,0.24468085106382978
6032 - Métro Place-d'Armes (Viger / St-Urbain),0.0,0.35405828791964944,0.4519346029670767,0.1115795480345075,0.25,0.11688311688311688,0.02702702702702703,0.0,0.019773209030749007,0.14285714285714285,0.23076923076923078,0.9130434782608695,0.23404255319148937
6033 - 16e avenue / Beaubien,0.2582853463356348,0.4122945795387478,0.0,0.41672890393134027,0.0,0.025974025974025976,0.05405405405405406,0.0,0.16713261233474425,0.07142857142857142,0.07692307692307693,0.75,0.0425531914893617
6035 - Viger / Chenneville,0.0,0.2013395539473095,0.351085328339497,0.27754387036903994,0.25,0.1038961038961039,0.16216216216216217,0.0,0.13789473042212058,0.03571428571428571,0.07692307692307693,0.967391304347826,0.2872340425531915
6036 - de la Commune / St-Sulpice,0.2833442391901998,0.1964769167545188,0.12415152006015026,0.46149193870298094,0.0,0.35064935064935066,0.4864864864864865,0.0,0.0949148202630545,0.07142857142857142,0.038461538461538464,0.9021739130434783,0.3404255319148936
6037 - St-Nicolas / Place d'Youville,0.11620828296071375,0.14540840018865822,0.0918897337892478,0.6807291315932017,0.0,0.44155844155844154,0.5675675675675675,0.0,0.08922837784959337,0.07142857142857142,0.038461538461538464,0.8913043478260869,0.0425531914893617
6038 - McGill / Place d'Youville,0.024807471446048713,0.29055359736339537,0.05148940702211779,0.4700273679955028,0.0,0.22077922077922077,0.43243243243243246,0.0,0.1376980262331509,0.07142857142857142,0.15384615384615385,0.9021739130434783,0.13829787234042554
